No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
19,DISH,-2.85%,18.42%,40.80%,54.50%,88.11%,37.97%,2.78%,3.66%,2.60,4.05M,0.21,45.26,1.43%,"275,908"
20,LKQ,0.37%,12.19%,31.86%,33.07%,117.15%,39.76%,2.81%,2.38%,1.60,1.89M,0.57,50.17,1.87%,"341,624"
21,CSCO,0.10%,2.18%,10.32%,35.56%,25.13%,17.30%,2.04%,1.62%,2.20,20.77M,0.49,52.77,0.53%,"3,214,843"
22,FAST,0.68%,6.35%,13.11%,14.79%,40.00%,9.03%,2.10%,1.77%,2.80,3.54M,0.47,53.49,0.48%,"526,145"
23,WBA,-0.59%,-0.61%,8.02%,27.84%,41.17%,35.76%,2.51%,2.10%,3.00,5.51M,0.48,54.39,0.46%,"848,825"
24,UAL,-1.17%,-7.89%,20.70%,30.91%,153.16%,21.23%,3.73%,3.70%,2.60,16.37M,1.43,54.86,4.63%,"7,468,257"
25,INTC,-5.56%,-15.86%,-10.96%,18.86%,-6.46%,8.41%,2.05%,2.08%,2.80,31.17M,0.95,55.20,2.20%,"9,399,935"
26,LNT,0.55%,3.64%,16.77%,-0.14%,24.03%,10.38%,2.42%,1.72%,2.00,1.49M,0.34,57.19,0.55%,"161,795"
27,CMCSA,0.72%,7.67%,7.82%,20.14%,64.11%,9.52%,2.26%,1.71%,2.00,17.73M,0.64,58.24,1.49%,"3,586,626"
28,ZION,-0.17%,5.05%,20.79%,51.56%,124.55%,36.00%,3.89%,3.19%,2.70,1.42M,0.50,59.58,0.85%,"224,647"
29,FLIR,-2.90%,-1.12%,4.96%,59.01%,26.72%,30.82%,1.21%,1.19%,3.00,1.72M,0.00,59.97,4.59%,3
30,EBAY,-0.14%,-6.45%,-5.73%,26.21%,41.27%,16.90%,3.41%,2.64%,2.50,7.37M,0.90,60.49,2.97%,"2,097,667"
31,MDLZ,1.09%,6.98%,12.05%,9.28%,25.89%,6.70%,1.56%,1.41%,1.80,8.21M,0.52,62.59,0.32%,"1,361,149"
32,REG,-1.22%,8.35%,23.00%,34.84%,74.77%,38.28%,2.85%,2.12%,2.40,1.20M,0.37,63.79,1.19%,"141,661"
33,HOLX,-3.62%,-16.28%,-21.52%,-5.83%,22.30%,-13.77%,2.12%,2.56%,1.80,2.24M,0.75,63.83,1.63%,"533,918"
